,series-id,measurement,num-measurements,location-id,location-name,longitude,latitude,phenomenon,reference-value-lower,reference-value-upper,reference-value-color
2551,6892,14.271,2,1173,43N060 - Havinnes,3.457624427181725,50.616718401793946,Particulate Matter < 10 µm,10.0,20.0,#0099FF
2562,6891,18.5,2,1173,43N060 - Havinnes,3.457624427181725,50.616718401793946,Ozone,-10.0,25.0,#0000FF
2570,100040,13.16,2,1751,40DU07 - Deurne,4.448749903341609,51.22638859104361,Particulate Matter < 2.5 µm,10.5,15.0,#009900
2581,6531,13.25,2,1113,41B011 - Berchem-Sainte-Agathe,4.288336366305902,50.85803059327695,Particulate Matter < 10 µm,10.0,20.0,#0099FF
2591,6530,37.25,2,1113,41B011 - Berchem-Sainte-Agathe,4.288336366305902,50.85803059327695,Ozone,25.0,50.0,#0099FF
2601,6893,9.4215,2,1173,43N060 - Havinnes,3.457624427181725,50.616718401793946,Particulate Matter < 2.5 µm,5.0,10.4,#0099FF
2612,6775,12.5,2,1147,42R801 - Borgerhout,4.4318210469688415,51.209662530910016,Nitrogen monoxide,-10.0,20.0,#0000FF
2621,6532,9.963999999999999,2,1113,41B011 - Berchem-Sainte-Agathe,4.288336366305902,50.85803059327695,Particulate Matter < 2.5 µm,5.0,10.4,#0099FF
2632,6774,0.75,2,1147,42R801 - Borgerhout,4.4318210469688415,51.209662530910016,Sulphur dioxide,-5.0,25.0,#0000FF
2642,6766,0.3225,2,1146,42R020 - Vilvoorde,4.436720763534066,50.94138711459397,Carbon Monoxide,-10.0,100.0,#0000FF
2652,6887,0.215,2,1173,43N060 - Havinnes,3.457624427181725,50.616718401793946,Carbon Monoxide,-10.0,100.0,#0000FF
2661,100034,9.000499999999999,2,1741,41REG1 - Brussel (Bld du Régent),4.367005785367068,50.84356660319536,Particulate Matter < 2.5 µm,5.0,10.4,#0099FF
2672,100035,4.25,2,1742,41CHA1 - Brussel (Ganshoren),4.306158790881906,50.87036591660665,Nitrogen monoxide,-10.0,20.0,#0000FF
2681,100036,26.25,2,1742,41CHA1 - Brussel (Ganshoren),4.306158790881906,50.87036591660665,Nitrogen dioxide,20.0,50.0,#0099FF
2692,6768,17.75,2,1146,42R020 - Vilvoorde,4.436720763534066,50.94138711459397,Nitrogen monoxide,-10.0,20.0,#0000FF
2702,6889,0.75,2,1173,43N060 - Havinnes,3.457624427181725,50.616718401793946,Nitrogen monoxide,-10.0,20.0,#0000FF
2711,100037,22.75,2,1751,40DU07 - Deurne,4.448749903341609,51.22638859104361,Nitrogen monoxide,20.0,50.0,#0099FF
2722,6888,1.75,2,1173,43N060 - Havinnes,3.457624427181725,50.616718401793946,Sulphur dioxide,-5.0,25.0,#0000FF
2731,100038,46.5,2,1751,40DU07 - Deurne,4.448749903341609,51.22638859104361,Nitrogen dioxide,20.0,50.0,#0099FF
2742,6528,19.0,2,1113,41B011 - Berchem-Sainte-Agathe,4.288336366305902,50.85803059327695,Nitrogen dioxide,-10.0,20.0,#0000FF
2751,6769,46.25,2,1146,42R020 - Vilvoorde,4.436720763534066,50.94138711459397,Nitrogen dioxide,20.0,50.0,#0099FF
2762,6527,3.0,2,1113,41B011 - Berchem-Sainte-Agathe,4.288336366305902,50.85803059327695,Nitrogen monoxide,-10.0,20.0,#0000FF
2770,100039,20.65,2,1751,40DU07 - Deurne,4.448749903341609,51.22638859104361,Particulate Matter < 10 µm,20.0,30.0,#009900
2782,100050,0.2,2,1753,48R515 - Aeroport 2,4.484957959246502,50.46913160387411,Carbon Monoxide,-10.0,100.0,#0000FF
2790,6786,22.65,2,1147,42R801 - Borgerhout,4.4318210469688415,51.209662530910016,Particulate Matter < 10 µm,20.0,30.0,#009900
2800,6302,11.045,2,1062,40MN01 - Menen,3.109641874498659,50.79346904431352,Particulate Matter < 2.5 µm,10.5,15.0,#009900
2810,6301,21.15,2,1062,40MN01 - Menen,3.109641874498659,50.79346904431352,Particulate Matter < 10 µm,20.0,30.0,#009900
2821,6776,39.25,2,1147,42R801 - Borgerhout,4.4318210469688415,51.209662530910016,Nitrogen dioxide,20.0,50.0,#0099FF
2832,100046,7.75,2,1753,48R515 - Aeroport 2,4.484957959246502,50.46913160387411,Nitrogen monoxide,-10.0,20.0,#0000FF
2841,100047,31.25,2,1753,48R515 - Aeroport 2,4.484957959246502,50.46913160387411,Nitrogen dioxide,20.0,50.0,#0099FF
2852,6778,13.25,2,1147,42R801 - Borgerhout,4.4318210469688415,51.209662530910016,Ozone,-10.0,25.0,#0000FF
2862,6791,3.25,2,1149,42R811 - Schoten,4.491362027935439,51.25210341184476,Nitrogen monoxide,-10.0,20.0,#0000FF
2871,6551,38.0,2,1116,41MEU1 - Meudon,4.3927176975661535,50.89510056203236,Nitrogen dioxide,20.0,50.0,#0099FF
2882,6793,9.0,2,1149,42R811 - Schoten,4.491362027935439,51.25210341184476,Ozone,-10.0,25.0,#0000FF
2892,6430,0.0,2,1095,40WZ02 - Mol,5.2215340790930975,51.1928003331967,Sulphur dioxide,-5.0,25.0,#0000FF
2901,6792,44.25,2,1149,42R811 - Schoten,4.491362027935439,51.25210341184476,Nitrogen dioxide,20.0,50.0,#0099FF
2912,6550,3.0,2,1116,41MEU1 - Meudon,4.3927176975661535,50.89510056203236,Nitrogen monoxide,-10.0,20.0,#0000FF
2921,6553,7.285,2,1116,41MEU1 - Meudon,4.3927176975661535,50.89510056203236,Particulate Matter < 2.5 µm,5.0,10.4,#0099FF
2931,6552,11.75,2,1116,41MEU1 - Meudon,4.3927176975661535,50.89510056203236,Particulate Matter < 10 µm,10.0,20.0,#0099FF
2940,6794,22.65,2,1149,42R811 - Schoten,4.491362027935439,51.25210341184476,Particulate Matter < 10 µm,20.0,30.0,#009900
2950,10691,23.25,2,1719,40SA04 - Hoevenen,4.403868139749608,51.313928894144894,Particulate Matter < 10 µm,20.0,30.0,#009900
2960,10690,2.0475,2,1719,40SA04 - Hoevenen,4.403868139749608,51.313928894144894,Black Carbon,2.0,3.0,#009900
2971,10693,1.155,2,1117,41N043 - Haren,4.3829632518023365,50.88355981138231,Black Carbon,1.0,2.0,#0099FF
2980,6788,24.15,2,1148,42R802 - Borgerhout,4.431792230792439,51.209518731583486,Particulate Matter < 10 µm,20.0,30.0,#009900
2989,10692,15.510000000000002,2,1719,40SA04 - Hoevenen,4.403868139749608,51.313928894144894,Particulate Matter < 2.5 µm,15.0,25.0,#00FF00
3000,6787,14.57,2,1147,42R801 - Borgerhout,4.4318210469688415,51.209662530910016,Particulate Matter < 2.5 µm,10.5,15.0,#009900
3009,6789,15.04,2,1148,42R802 - Borgerhout,4.431792230792439,51.209518731583486,Particulate Matter < 2.5 µm,15.0,25.0,#00FF00
3022,10697,5.25,2,1155,42R820 - Kapellen,4.444810618980053,51.32041678531231,Nitrogen monoxide,-10.0,20.0,#0000FF
3031,10696,34.75,2,1148,42R802 - Borgerhout,4.431792230792439,51.209518731583486,Nitrogen monoxide,20.0,50.0,#0099FF
3041,10699,26.0,2,1190,43R221 - Liège,5.627835290852657,50.65844441678666,Nitrogen monoxide,20.0,50.0,#0099FF
3051,10698,46.75,2,1155,42R820 - Kapellen,4.444810618980053,51.32041678531231,Nitrogen dioxide,20.0,50.0,#0099FF
3061,6560,27.5,2,1117,41N043 - Haren,4.3829632518023365,50.88355981138231,Nitrogen monoxide,20.0,50.0,#0099FF
3072,6562,7.75,2,1117,41N043 - Haren,4.3829632518023365,50.88355981138231,Ozone,-10.0,25.0,#0000FF
3080,6561,57.5,2,1117,41N043 - Haren,4.3829632518023365,50.88355981138231,Nitrogen dioxide,50.0,70.0,#009900
3101,6563,16.5,2,1117,41N043 - Haren,4.3829632518023365,50.88355981138231,Particulate Matter < 10 µm,10.0,20.0,#0099FF
3111,6687,1.4075,2,1127,42M802 - Antwerpen,4.42439900693533,51.2609897074671,Black Carbon,1.0,2.0,#0099FF
3120,6324,27.4,2,1066,40OB01 - Oostrozebeke,3.307385799335752,50.91722844102691,Particulate Matter < 10 µm,20.0,30.0,#009900
3132,6559,2.95,2,1117,41N043 - Haren,4.3829632518023365,50.88355981138231,Sulphur dioxide,-5.0,25.0,#0000FF
3142,6558,0.27749999999999997,2,1117,41N043 - Haren,4.3829632518023365,50.88355981138231,Carbon Monoxide,-10.0,100.0,#0000FF
3152,6571,0.3075,2,1118,41R001 - Molenbeek-Saint-Jean,4.333819707712013,50.84966548806808,Carbon Monoxide,-10.0,100.0,#0000FF
3162,6573,8.5,2,1118,41R001 - Molenbeek-Saint-Jean,4.333819707712013,50.84966548806808,Nitrogen monoxide,-10.0,20.0,#0000FF
3170,6693,23.4,2,1127,42M802 - Antwerpen,4.42439900693533,51.2609897074671,Particulate Matter < 10 µm,20.0,30.0,#009900
3182,6572,3.75,2,1118,41R001 - Molenbeek-Saint-Jean,4.333819707712013,50.84966548806808,Sulphur dioxide,-5.0,25.0,#0000FF
3191,6574,46.5,2,1118,41R001 - Molenbeek-Saint-Jean,4.333819707712013,50.84966548806808,Nitrogen dioxide,20.0,50.0,#0099FF
3202,6577,15.25,2,1118,41R001 - Molenbeek-Saint-Jean,4.333819707712013,50.84966548806808,Ozone,-10.0,25.0,#0000FF
3211,10790,9.25,2,1733,43R401 - Namur,4.865260946011645,50.462427939604666,Particulate Matter < 2.5 µm,5.0,10.4,#0099FF
3221,6334,18.75,2,1070,44RL01 - Roeselare,3.1211555989012387,50.95317728023869,Particulate Matter < 10 µm,10.0,20.0,#0099FF
3231,6690,42.5,2,1127,42M802 - Antwerpen,4.42439900693533,51.2609897074671,Nitrogen dioxide,20.0,50.0,#0099FF
3233,10799,100.0,2,1170,43H201 - Liège,5.547464182570818,50.62499156889817,Relative Humidity,95.5,999.0,#660000
3252,6689,7.25,2,1127,42M802 - Antwerpen,4.42439900693533,51.2609897074671,Nitrogen monoxide,-10.0,20.0,#0000FF
3261,10792,32.5,2,1733,43R401 - Namur,4.865260946011645,50.462427939604666,Ozone,25.0,50.0,#0099FF
3268,6207,4.25,2,1046,40GK11 - Genk,5.520312797653718,50.93148760350312,Elemental gaseous mercury,4.0,5.0,#FFFF00
3282,10794,0.0,2,1122,41R012 - Uccle,4.358538856351676,50.79663163849799,Relative Humidity,-5.0,20.5,#0000FF
3292,6569,0.8875,2,1118,41R001 - Molenbeek-Saint-Jean,4.333819707712013,50.84966548806808,Black Carbon,-10.0,1.0,#0000FF
3294,10793,92.0,2,1118,41R001 - Molenbeek-Saint-Jean,4.333819707712013,50.84966548806808,Relative Humidity,90.5,95.5,#990000
3304,10795,93.0,2,1127,42M802 - Antwerpen,4.42439900693533,51.2609897074671,Relative Humidity,90.5,95.5,#990000
3313,10798,98.5,2,1202,44N029 - Houtem,2.582322781489737,51.01628011113804,Relative Humidity,95.5,999.0,#660000
3331,6343,1.09,2,1073,40SZ01 - Steenokkerzeel,4.504183323312318,50.91457613716692,Black Carbon,1.0,2.0,#0099FF
3340,10680,25.9,2,1714,40OB02 - Wielsbeke,3.376211631086016,50.91495296088119,Particulate Matter < 10 µm,20.0,30.0,#009900
3352,6579,4.136,2,1118,41R001 - Molenbeek-Saint-Jean,4.333819707712013,50.84966548806808,Particulate Matter < 2.5 µm,-10.0,5.0,#0000FF
3362,6578,8.25,2,1118,41R001 - Molenbeek-Saint-Jean,4.333819707712013,50.84966548806808,Particulate Matter < 10 µm,-10.0,10.0,#0000FF
3372,6215,1.25,2,1048,40HB23 - Hoboken,4.341005064562842,51.17029803843545,Sulphur dioxide,-5.0,25.0,#0000FF
3380,6218,22.9,2,1048,40HB23 - Hoboken,4.341005064562842,51.17029803843545,Particulate Matter < 10 µm,20.0,30.0,#009900
3389,99938,8.45,2,1183,43N113 - Sainte-Ode,5.593016914066444,50.02702901734794,Temperature,5.0,10.0,#00FF00
3393,99939,222.5,2,1122,41R012 - Uccle,4.358538856351676,50.79663163849799,Wind Direction,,,#888888
3403,7200,2.25,2,1239,47E714 - Dudzele,3.248624062941191,51.27896330355755,Nitrogen monoxide,-10.0,20.0,#0000FF
3413,7201,17.0,2,1239,47E714 - Dudzele,3.248624062941191,51.27896330355755,Nitrogen dioxide,-10.0,20.0,#0000FF
3420,99935,8.675,2,1192,43R223 - Jemeppe,5.5164047551429976,50.62067087883932,Temperature,5.0,10.0,#00FF00
3433,7204,8.0,2,1240,47E715 - Zuienkerke,3.174984201680884,51.2458642166759,Nitrogen dioxide,-10.0,20.0,#0000FF
3440,99932,8.95,2,1190,43R221 - Liège,5.627835290852657,50.65844441678666,Temperature,5.0,10.0,#00FF00
3453,7203,0.0,2,1240,47E715 - Zuienkerke,3.174984201680884,51.2458642166759,Nitrogen monoxide,-10.0,20.0,#0000FF
3462,6348,45.25,2,1073,40SZ01 - Steenokkerzeel,4.504183323312318,50.91457613716692,Nitrogen dioxide,20.0,50.0,#0099FF
3473,6347,11.75,2,1073,40SZ01 - Steenokkerzeel,4.504183323312318,50.91457613716692,Nitrogen monoxide,-10.0,20.0,#0000FF
3480,99929,9.575,2,1171,43M204 - Angleur,5.611149762819439,50.61192270655334,Temperature,5.0,10.0,#00FF00
3490,99926,8.899999999999999,2,1170,43H201 - Liège,5.547464182570818,50.62499156889817,Temperature,5.0,10.0,#00FF00
3494,6487,0.335,1,1107,40ZL01 - Zelzate,3.808400323951653,51.20314142607233,Benzene,,,#888888
3501,99923,7.75,2,1220,45R511 - Marcinelle,4.424700450402466,50.37759210212818,Temperature,5.0,10.0,#00FF00
3511,99920,7.825,2,1218,45R502 - Lodelinsart,4.458680858021719,50.428995392896255,Temperature,5.0,10.0,#00FF00
3524,7206,0.25,2,1241,47E716 - Mariakerke,3.6828130172031206,51.06698790152168,Nitrogen monoxide,-10.0,20.0,#0000FF
3533,7207,20.5,2,1241,47E716 - Mariakerke,3.6828130172031206,51.06698790152168,Nitrogen dioxide,20.0,50.0,#0099FF
3543,7105,28.25,2,1212,44R731 - Evergem,3.739504220441925,51.12469051189999,Nitrogen dioxide,20.0,50.0,#0099FF
3554,7104,1.0,2,1212,44R731 - Evergem,3.739504220441925,51.12469051189999,Nitrogen monoxide,-10.0,20.0,#0000FF
3564,7110,5.0,2,1213,44R740 - Sint-Kruiswinkel,3.80873543041274,51.15013609000081,Nitrogen monoxide,-10.0,20.0,#0000FF
3573,7111,48.0,2,1213,44R740 - Sint-Kruiswinkel,3.80873543041274,51.15013609000081,Nitrogen dioxide,20.0,50.0,#0099FF
3584,7115,18.25,2,1213,44R740 - Sint-Kruiswinkel,3.80873543041274,51.15013609000081,Ozone,-10.0,25.0,#0000FF
3585,99940,2.4375,2,1122,41R012 - Uccle,4.358538856351676,50.79663163849799,Wind Speed (scalar),,,#888888
3593,7107,14.57,2,1212,44R731 - Evergem,3.739504220441925,51.12469051189999,Particulate Matter < 2.5 µm,10.5,15.0,#009900
3603,7106,21.4,2,1212,44R731 - Evergem,3.739504220441925,51.12469051189999,Particulate Matter < 10 µm,20.0,30.0,#009900
3615,7121,1.5,2,1214,44R750 - Zelzate,3.8229200468043305,51.19606326849932,Nitrogen monoxide,-10.0,20.0,#0000FF
3623,6153,25.65,2,1031,40AL02 - Beveren,4.234832753144059,51.30452079034428,Particulate Matter < 10 µm,20.0,30.0,#009900
3635,7000,6.521000000000001,2,1191,43R222 - Seraing,5.57022281411258,50.61341250148202,Particulate Matter < 10 µm,-10.0,10.0,#0000FF
3643,6152,22.15,2,1030,40AL01 - Linkeroever,4.385223684454717,51.23619419990248,Particulate Matter < 10 µm,20.0,30.0,#009900
3652,6155,16.45,2,1032,40AL03 - Beveren,4.201460395126572,51.25396488066997,Particulate Matter < 2.5 µm,15.0,25.0,#00FF00
3664,7122,30.25,2,1214,44R750 - Zelzate,3.8229200468043305,51.19606326849932,Nitrogen dioxide,20.0,50.0,#0099FF
3672,6154,17.155,2,1031,40AL02 - Beveren,4.234832753144059,51.30452079034428,Particulate Matter < 2.5 µm,15.0,25.0,#00FF00
3685,7001,3.6205,2,1191,43R222 - Seraing,5.57022281411258,50.61341250148202,Particulate Matter < 2.5 µm,-10.0,5.0,#0000FF
3693,6157,21.65,2,1034,40AL05 - Beveren,4.278889821667828,51.2631177168737,Particulate Matter < 10 µm,20.0,30.0,#009900
3702,7125,31.25,2,1214,44R750 - Zelzate,3.8229200468043305,51.19606326849932,Particulate Matter < 10 µm,30.0,40.0,#00FF00
3715,7004,1.0,2,1192,43R223 - Jemeppe,5.5164047551429976,50.62067087883932,Sulphur dioxide,-5.0,25.0,#0000FF
3725,7003,0.2475,2,1192,43R223 - Jemeppe,5.5164047551429976,50.62067087883932,Carbon Monoxide,-10.0,100.0,#0000FF
3732,6156,16.215,2,1033,40AL04 - Beveren,4.293329476940385,51.2906675267468,Particulate Matter < 2.5 µm,15.0,25.0,#00FF00
3744,11021,43.75,2,1754,BETVBX1 - Brussel (Rue de Grand Ile),4.346090383271134,50.846081614357104,Nitrogen dioxide,20.0,50.0,#0099FF
3754,7006,26.75,2,1192,43R223 - Jemeppe,5.5164047551429976,50.62067087883932,Nitrogen dioxide,20.0,50.0,#0099FF
3765,11020,4.25,2,1754,BETVBX1 - Brussel (Rue de Grand Ile),4.346090383271134,50.846081614357104,Nitrogen monoxide,-10.0,20.0,#0000FF
3775,7005,6.25,2,1192,43R223 - Jemeppe,5.5164047551429976,50.62067087883932,Nitrogen monoxide,-10.0,20.0,#0000FF
3783,6158,13.629999999999999,2,1034,40AL05 - Beveren,4.278889821667828,51.2631177168737,Particulate Matter < 2.5 µm,10.5,15.0,#009900
3795,6151,0.8625,2,1030,40AL01 - Linkeroever,4.385223684454717,51.23619419990248,Black Carbon,-10.0,1.0,#0000FF
3803,11023,57.5,2,1755,BETVBX2 - Brussel (Rue des Tanneurs),4.346831357738299,50.84028350969509,Nitrogen dioxide,50.0,70.0,#009900
3815,11022,17.5,2,1755,BETVBX2 - Brussel (Rue des Tanneurs),4.346831357738299,50.84028350969509,Nitrogen monoxide,-10.0,20.0,#0000FF
3825,7119,0.1775,2,1214,44R750 - Zelzate,3.8229200468043305,51.19606326849932,Carbon Monoxide,-10.0,100.0,#0000FF
3834,7132,39.5,2,1217,45R501 - Charleroi,4.452171781049856,50.40931145201499,Nitrogen dioxide,20.0,50.0,#0099FF
3845,7131,9.75,2,1217,45R501 - Charleroi,4.452171781049856,50.40931145201499,Nitrogen monoxide,-10.0,20.0,#0000FF
3854,7136,6.521,2,1217,45R501 - Charleroi,4.452171781049856,50.40931145201499,Particulate Matter < 2.5 µm,5.0,10.4,#0099FF
3864,7135,11.021,2,1217,45R501 - Charleroi,4.452171781049856,50.40931145201499,Particulate Matter < 10 µm,10.0,20.0,#0099FF
