row,message_id,message_send_time_utc,measurement_time_utc,country_code,location,city,latitude,longitude,source_type,source_name,parameter_name,parameter_value,parameter_unit
2294,7f8607f2-cc6b-55b2-b398-5be9f2436239,2022-12-20 04:36:56,2022-12-20 02:00:00,BE,BETN016,Antwerpen,51.233652,5.163979,government,EEA Belgium,o3,44.0,µg/m³
2295,ee820f98-4278-5eef-93f5-53837c5016bf,2022-12-20 04:36:56,2022-12-20 02:00:00,BE,BETR001,Brussels-Capital Region,50.849665,4.33382,government,EEA Belgium,o3,47.5,µg/m³
2296,523a4893-e9e7-5366-a3c5-1488d7cf860a,2022-12-20 04:36:56,2022-12-20 01:00:00,BE,BETR001,Brussels-Capital Region,50.849665,4.33382,government,EEA Belgium,o3,48.0,µg/m³
2297,b405114b-4139-5928-b8b3-4d507a2a1b0d,2022-12-20 04:23:47,2022-12-20 01:00:00,BE,BETN040,Vlaams-Brabant,50.768138,4.225194,government,EEA Belgium,no2,4.5,µg/m³
2298,61c770af-b644-53c6-865b-2cb48d573243,2022-12-20 04:23:47,2022-12-20 01:00:00,BE,BETN035,Vlaams-Brabant,50.977541,4.837618,government,EEA Belgium,no2,3.0,µg/m³
2299,772c9d6f-c429-5490-9240-c174ff3af955,2022-12-20 04:23:47,2022-12-20 01:00:00,BE,BETR221,Liege,50.658444,5.627835,government,EEA Belgium,pm25,0.0,µg/m³
2300,9e064a6e-1fa0-5aa0-a902-167524b355cc,2022-12-20 04:23:47,2022-12-20 01:00:00,BE,BETN060,Hainaut,50.616718,3.457624,government,EEA Belgium,pm25,4.587,µg/m³
2301,0a0ca554-7f8f-5f81-bf7a-f94f449cee24,2022-12-20 04:23:47,2022-12-20 01:00:00,BE,BETN085,Luxembourg,50.303208,6.001736,government,EEA Belgium,pm25,1.686,µg/m³
2302,17203ae4-6fa4-51f2-93ec-66ff54b73c0d,2022-12-20 04:23:47,2022-12-20 01:00:00,BE,BETR510,Hainaut,50.416433,4.52113,government,EEA Belgium,pm25,0.719,µg/m³
2303,fcda786d-7364-59e8-864d-247648774aa4,2022-12-20 04:23:47,2022-12-20 01:00:00,BE,BETN067,Liege,50.612278,5.992753,government,EEA Belgium,pm10,1.271,µg/m³
2304,49f93fc3-fbde-5cca-bb50-63d8c0cb2d6f,2022-12-20 04:23:49,2022-12-20 02:00:00,BE,BETN100,Namur,50.095683,4.594763,government,EEA Belgium,pm25,0.0,µg/m³
2305,def9aa8e-16be-53ae-a38f-f69528970668,2022-12-20 04:36:57,2022-12-20 01:00:00,BE,BETR001,Brussels-Capital Region,50.849665,4.33382,government,EEA Belgium,so2,4.1,µg/m³
2306,fe73c070-29c6-5259-a2ab-9c6b17ee6233,2022-12-20 04:36:56,2022-12-20 02:00:00,BE,BETB004,Brussels-Capital Region,50.850811,4.348587,government,EEA Belgium,co,245.0,µg/m³
2307,282f14af-4b60-5d61-8fa4-48b475486a66,2022-12-20 04:36:56,2022-12-20 01:00:00,BE,BETB011,Brussels-Capital Region,50.858031,4.288336,government,EEA Belgium,o3,50.0,µg/m³
2308,3ce9276c-5430-5fcf-ac57-7b776a181902,2022-12-20 04:36:56,2022-12-20 02:00:00,BE,BETR802,Antwerpen,51.209519,4.431792,government,EEA Belgium,co,230.0,µg/m³
2309,7985a985-0db1-5e82-a6cb-f59e3399bd47,2022-12-20 04:36:56,2022-12-20 02:00:00,BE,BETMEU1,Brussels-Capital Region,50.895101,4.392718,government,EEA Belgium,o3,44.5,µg/m³
2310,c12bd693-fd2e-5ee3-bbaa-8a88c304df6b,2022-12-20 04:36:58,2022-12-20 02:00:00,BE,BETR240,Liege,50.583614,5.397446,government,EEA Belgium,no2,13.5,µg/m³
2311,30d02cfc-a404-5d09-a3d4-70e79a2ce86f,2022-12-20 04:36:56,2022-12-20 02:00:00,BE,BETN070,Hainaut,50.465192,3.939714,government,EEA Belgium,co,190.0,µg/m³
2312,18080f26-48b5-52eb-a0f0-533d769d1281,2022-12-20 04:36:56,2022-12-20 01:00:00,BE,BETR802,Antwerpen,51.209519,4.431792,government,EEA Belgium,no2,8.0,µg/m³
2313,6014ccc9-c68e-5572-b3fa-90d2f8a69cf6,2022-12-20 04:36:56,2022-12-20 01:00:00,BE,BETN052,West-Vlaanderen,50.814874,3.322494,government,EEA Belgium,no2,8.5,µg/m³
2314,fc857cb5-fbf5-5d7f-9349-20aec5dc5c3d,2022-12-20 04:36:57,2022-12-20 02:00:00,BE,BETN060,Hainaut,50.616718,3.457624,government,EEA Belgium,pm10,7.271,µg/m³
2315,9bc33260-d01e-5561-94f4-6e7bee373646,2022-12-20 04:36:57,2022-12-20 02:00:00,BE,BELAL01,Antwerpen,51.236194,4.385224,government,EEA Belgium,pm10,8.4,µg/m³
2316,fdbe1aaa-984b-5b51-8786-46b1a6625894,2022-12-20 04:36:57,2022-12-20 02:00:00,BE,BETH201,Liege,50.624992,5.547464,government,EEA Belgium,pm10,2.271,µg/m³
2317,352cabdb-33f6-5d41-a40e-f7c00ddf3a46,2022-12-20 04:36:57,2022-12-20 01:00:00,BE,BELSA04,Antwerpen,51.313929,4.403868,government,EEA Belgium,pm10,8.0,µg/m³
2318,dd62439e-c165-5a17-b809-1f85ff4f45b6,2022-12-20 04:36:58,2022-12-20 01:00:00,BE,BETR750,Oost-Vlaanderen,51.196063,3.82292,government,EEA Belgium,pm10,13.75,µg/m³
